id,listing_url,name,picture_url,host_name,host_since,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
42289865,https://www.airbnb.com/rooms/42289865,Great Group accommodation for up to 13 people near Amstel river,https://a0.muscache.com/pictures/99d6f31c-a2bc-4941-ae5f-f4f97f74a98e.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.3362,4.93063,Entire rental unit,Entire home/apt,14,$237.00,2,34,4.56,4.71,4.32,4.82,4.88,4.18,4.26
42291162,https://www.airbnb.com/rooms/42291162,Lovely and romantic room for two near Amstel River,https://a0.muscache.com/pictures/75650404-c26b-4ce6-940a-a7b9b34ce0fa.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33652,4.93064,Private room in condo,Private room,2,$71.00,2,0,,,,,,,
42291217,https://www.airbnb.com/rooms/42291217,Great room for max three people close to Amstel River,https://a0.muscache.com/pictures/09819c90-6628-4b28-be28-c5b3920d4f15.jpg,Peter,2017-07-03,f,t,Watergraafsmeer,52.33663,4.9326,Private room in condo,Private room,6,$124.00,2,5,4.0,4.2,4.8,4.6,4.6,4.0,3.8
42309847,https://www.airbnb.com/rooms/42309847,Big family apartment close to the center and Ajax,https://a0.muscache.com/pictures/5abb1ddb-68f4-4ceb-81d7-c1e23d352423.jpg,Berthold,2020-02-15,f,f,Bijlmer-Centrum,52.31585,4.93888,Entire rental unit,Entire home/apt,4,$135.00,2,6,5.0,5.0,4.83,4.83,5.0,4.67,4.83
42358184,https://www.airbnb.com/rooms/42358184,Prachtig ruim (95m2) appartement met parkeerplek!,https://a0.muscache.com/pictures/miso/Hosting-42358184/original/ed17c639-c8f7-4d85-a488-f96212677f04.jpeg,Sake,2015-03-17,f,t,Slotervaart,52.3646676,4.841393700000000,Entire condo,Entire home/apt,4,$325.00,1,4,5.0,5.0,5.0,5.0,5.0,4.5,5.0
42367204,https://www.airbnb.com/rooms/42367204,Cosy private houseboat city centre  ''Wiel'',https://a0.muscache.com/pictures/591268e1-0177-4a59-b9b6-0acb94c0b5a1.jpg,Ton,2020-02-18,f,t,Centrum-West,52.38361,4.89455,Private room in boat,Private room,3,$103.00,3,61,4.26,4.31,4.2,4.56,4.18,4.7,4.1
42367653,https://www.airbnb.com/rooms/42367653,Cosy private houseboat city centre Amsterdam ''ZYP,https://a0.muscache.com/pictures/591268e1-0177-4a59-b9b6-0acb94c0b5a1.jpg,Ton,2020-02-18,f,t,Centrum-West,52.38382,4.89268,Private room in boat,Private room,3,$100.00,3,59,4.49,4.34,4.53,4.78,4.37,4.81,4.39
42374092,https://www.airbnb.com/rooms/42374092,"Houseboat yacht city centre ""Papendrecht""",https://a0.muscache.com/pictures/79f8e465-224a-4eb2-94b8-32ac457e69c5.jpg,Ton,2020-02-18,f,t,Centrum-West,52.38509,4.89383,Private room in boat,Private room,3,$166.00,3,29,4.52,4.45,4.21,4.9,4.41,4.79,4.24
42393049,https://www.airbnb.com/rooms/42393049,"Classic Yacht ""Vredebest'' city centre Amsterdam",https://a0.muscache.com/pictures/f64acd41-ebe2-45cf-8125-5af328285720.jpg,Ton,2020-02-18,f,t,Centrum-West,52.38357,4.89435,Private room in boat,Private room,5,$162.00,3,53,4.36,4.49,3.7,4.81,4.66,4.87,4.23
42400434,https://www.airbnb.com/rooms/42400434,"Brand new houseboat centre Amsterdam ""Greuns""",https://a0.muscache.com/pictures/adfe3367-8b0b-4bb1-8bf5-f2880d534b0d.jpg,Ton,2020-02-18,f,t,Centrum-West,52.38482,4.89273,Private room in boat,Private room,5,$164.00,3,67,4.64,4.69,4.67,4.76,4.55,4.75,4.39
